Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2010 Status,2010 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
0021/001,400 NORTH POINT ST,400 NORTH POINT ST,94133,"400 NORTH POINT ST
San Francisco, CA 94133
(37.806452, -122.414645)",51656,Social/Meeting Hall,http://propertymap.sfplanning.org/?&search=0021/001,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,46.7,88.1,26.1,26.1,95.3,3,47.3,88.9,,34,70.9,1.5,1.5,72.3,2.3,40.5,81,,38.9,78.2,11.9,11.9,81.4,2.6,41.8,82.6
0595/006,2020 Van Ness Ave,2020 VAN NESS AVE,94109,"2020 VAN NESS AVE
San Francisco, CA 94109
(37.794825, -122.42316)",27948,Other - Services,http://propertymap.sfplanning.org/?&search=0595/006,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,15.7,52.4,-65.2,,39.81,,13.3,44.5,,15.3,48.2,-52.2,-52,37.7,1.3,15.3,48.2,,14.7,46.1,-54,-54,33.5,1.2,14.7,46.1,,15.1,47.4,-52.8,-52.8,34.4,1.2,15.1,47.4
0166/008,750 Battery St. Building,750 BATTERY ST,94111,"750 BATTERY ST
San Francisco, CA 94111
(37.798255, -122.400991)",124372,Office,http://propertymap.sfplanning.org/?&search=0166/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,60,71.5,176.8,-11.1,-11,577.3,5.5,71,177.3,63,70,170.9,-13.4,-13.3,561.1,5.3,70.9,174.3,66,68.1,163.7,-16.2,-16.3,541.5,5.2,68.1,163.6,66,64.9,159.4,-16.7,-16.7,493,4.7,64.8,157,64,64.7,168.1,-14.8,-14.8,504.6,4.8,63.3,163.6
0267/002,77 Battery Street,77 BATTERY ST,94104,"77 BATTERY ST
San Francisco, CA 94104
(37.791998, -122.39972)",20500,Office,http://propertymap.sfplanning.org/?&search=0267/002,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,42,80.5,216.9,8.5,8.5,124.6,6.1,80.8,217.1,51,67.6,193.9,-1.4,-1.4,107.9,5.3,69.9,196.3,53,71,190.6,-4.1,-4.1,109.7,5.4,73.2,192.9
0717/014,875 OFARRELL ST,875 OFARRELL ST,94109,"875 OFARRELL ST
San Francisco, CA 94109
(37.785028, -122.419041)",13402,Other - Services,http://propertymap.sfplanning.org/?&search=0717/014,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,11.6,34.9,-71.7,-71.7,12.4,0.9,,,,12.4,37.8,-69.3,-69.3,13.3,1,12.4,37.8,,13,40.1,-67.5,-67.5,14.1,1.1,13.1,40.1
3750/073,600 Harrison,600 HARRISON ST,94107,"600 HARRISON ST
San Francisco, CA 94107
(37.783888, -122.395721)",295114,Office,http://propertymap.sfplanning.org/?&search=3750/073,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Pending,54,118.3,,-3.8,,1509.12,,118.8,,85,84.3,245.4,-30.3,,1590.71,,84.7,247.3,83,85.1,233.5,-28.8,-28.8,1458.4,6.5,84.5,231.7,85,80.3,226.5,-30.1,-30.1,1395.8,6.2,80.8,225,95,61.2,167,-44.9,-44.9,1045.9,4.6,62,167.9
3768/016,2 Bryant Street,2 BRYANT ST,94105,"2 BRYANT ST
San Francisco, CA 94105
(37.7871, -122.388423)",59445,Office,http://propertymap.sfplanning.org/?&search=3768/016,Violation - Did Not Report,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,4/1/2014,Complied,69,93.3,,-19.5,,397.03,,93.3,,89,46.1,143.9,-42.3,,239.14,,45.6,143.4,,,,,,,,,,96,28.1,82.4,-55.7,-55.7,131.4,2.2,29,83.3,95,28.4,89,-55.6,-55.6,137.4,2.3,28.4,89
3756/003,350 8TH ST,350 8TH ST,94103,"350 8TH ST
San Francisco, CA 94103
(37.774285, -122.409208)",22834,,http://propertymap.sfplanning.org/?&search=3756/003,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511/031,1563 MISSION ST,1563 MISSION ST,94103,"1563 MISSION ST
San Francisco, CA 94103
(37.773234, -122.418276)",40600,,http://propertymap.sfplanning.org/?&search=3511/031,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Vacant,Exempt,Exempt - New Construction,4/1/2021,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0166/001,747 Front Street,101 BROADWAY,94111,"101 BROADWAY
San Francisco, CA 94111
(37.798682, -122.40022)",71775,Office,http://propertymap.sfplanning.org/?&search=0166/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,84,42.8,,-36.5,,231.76,,41.6,,80,45,128.5,-31.8,,267.86,,44.1,127.6,85,35.5,109.2,-37.9,-38,221.2,3.1,35.5,109.2,89,31.7,97.3,-43.3,-43.3,183.4,2.6,31.7,97.3,82,46.8,114.7,-34.2,-34.2,242.4,3.4,48.3,116.3
0136/004,900 BATTERY ST,900 BATTERY ST,94111,"900 BATTERY ST
San Francisco, CA 94111
(37.799772, -122.4013)",71772,,http://propertymap.sfplanning.org/?&search=0136/004,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5211/033,3450 3RD ST #2 B,3450 3RD ST #2 B,94124,"3450 3RD ST
San Francisco, CA 94124
(37.745808, -122.387234)",10837,,http://propertymap.sfplanning.org/?&search=5211/033,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3707/001,CA SF NO 1 LP,601 MARKET ST,94105,"601 MARKET ST
San Francisco, CA 94105
(37.789199, -122.401485)",58822,,http://propertymap.sfplanning.org/?&search=3707/001,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/2013,Complied,80,66.3,,-32,,282.08,,60.9,,85,59.6,129.2,-37.8,,250.98,,58.4,128,80,56.4,129.6,-32.4,-32.4,245.1,4.2,56.8,129.9,88,45.1,109.9,-42.8,-42.8,191,3.2,49.4,114.4,,,,,,,,,
0288/031,101 Montgomery Street Building,101 MONTGOMERY ST,94104,"101 MONTGOMERY ST
San Francisco, CA 94104
(37.79047, -122.402289)",332000,Office,http://propertymap.sfplanning.org/?&search=0288/031,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,91,61.2,,-45.6,,1433.53,,61.2,,90,66.3,148.3,-44.6,-44.6,1531.2,4.8,65,146.9,88,66,154.7,-41.7,-41.8,1561.5,4.9,66.2,154.9,87,66.2,154.2,-41.1,-41.1,1475,4.7,68.6,156.7,90,61.6,146.9,-44.4,-44.4,1391.6,4.4,62.6,148
0564/070,Grant Building,2200 BROADWAY,94123,"2200 BROADWAY
San Francisco, CA 94123
(37.794492, -122.433281)",,,http://propertymap.sfplanning.org/?&search=0564/070,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4023/004A,2750 19TH ST,2750 19TH ST,94110,"2750 19TH ST
San Francisco, CA 94110
(37.760496, -122.40968)",10934,Manufacturing/Industrial Plant,http://propertymap.sfplanning.org/?&search=4023/004A,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,18.2,39.8,,,13.6,1.2,16.8,38.4,,14,34.9,,,11.1,1,14,34.9,,19.6,41.2,,,14.4,1.3,21.8,43.6
0196/019,451,451 JACKSON ST,94111,"451 JACKSON ST
San Francisco, CA 94111
(37.796513, -122.402784)",13500,,http://propertymap.sfplanning.org/?&search=0196/019,Violation - Insufficient Data,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0313/017,71428B (UNION SQUARE B),120 STOCKTON ST,94108,"120 STOCKTON ST
San Francisco, CA 94108
(37.786884, -122.406462)",247617,Retail Store,http://propertymap.sfplanning.org/?&search=0313/017,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Pending,82,41.1,,-39.7,,911.34,,41.1,,80,44.6,140.6,-36.2,,969.8,,44.4,140.4,78,46.5,135.5,-33.8,-33.9,968.6,3.9,46.6,135.7,79,41.9,128.1,-35.4,-35.4,833.8,3.4,42.5,128.8,81,40.5,124.9,-38.2,-38.2,810.5,3.3,40.5,124.9
5696/036,992 PERALTA AVE,992 PERALTA AVE,94110,"992 PERALTA AVE
San Francisco, CA 94110
(37.737302, -122.409084)",10678,,http://propertymap.sfplanning.org/?&search=5696/036,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4044/013,777 TENNESSEE ST,777 TENNESSEE ST,94107,"777 TENNESSEE ST
San Francisco, CA 94107
(37.761991, -122.389625)",11424,,http://propertymap.sfplanning.org/?&search=4044/013,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - Change of Ownership,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0327/008,Retail,34 ELLIS ST,94102,"34 ELLIS ST
San Francisco, CA 94102
(37.785643, -122.406859)",17800,Retail Store,http://propertymap.sfplanning.org/?&search=0327/008,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,51,42.6,133.7,-2.3,-2.3,66.6,3.7,43.3,136,42,44.3,139,10.4,10.4,64.2,3.6,42.6,133.8,47,42.6,133.8,3.4,3.4,61.8,3.5,41.9,131.4
0311/005,660 Market Street,660 MARKET ST,94104,"660 MARKET ST
San Francisco, CA 94104
(37.788204, -122.402745)",36961,,http://propertymap.sfplanning.org/?&search=0311/005,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3786/015,Townsend Enterprises LP,350 TOWNSEND ST,94107,"350 TOWNSEND ST
San Francisco, CA 94107
(37.776048, -122.396335)",64000,Office,http://propertymap.sfplanning.org/?&search=3786/015,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,100,16.2,,-75.5,,87.11,,15.8,,100,16,44.7,-76,,82.8,,16.2,45.5,100,21.3,52.6,-71.5,-71.5,102.9,1.6,21.1,52,,14.8,46.5,-68.6,-68.6,77.3,1.2,14.1,44.2,100,17.4,54.5,-71.3,-71.3,90.6,1.4,16.8,52.9
5235/015,Bayview Plaza - Buildings B&C,3801 3RD ST,94124,"3801 3RD ST
San Francisco, CA 94124
(37.742163, -122.388003)",83296,Mixed Use Property,http://propertymap.sfplanning.org/?&search=5235/015,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,50.3,102.1,-28.2,,204.61,,50.3,102.1,,,,,,,,,,,72.5,154.4,25.4,25.4,288.5,4.9,72.5,154.4,,74.6,159,29.2,29.2,297,5.1,74.6,159
0106/001,201 Filbert,201 FILBERT ST,94133,"201 FILBERT ST
San Francisco, CA 94133
(37.802142, -122.403224)",44050,Office,http://propertymap.sfplanning.org/?&search=0106/001,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,52,67.9,175.6,-2.2,,234.76,,67.5,175.1,53,65.6,160.7,-4.1,-4.2,220.7,5,65.7,160.8,51,64.5,160.4,-1.8,-1.8,206.4,4.7,65.2,159.3,49,68.3,166.2,0.1,0.1,216.4,4.9,68.5,165.1
3709/019,50 Fremont Center,50 FREMONT ST,94105,"50 FREMONT ST
San Francisco, CA 94105
(37.790767, -122.3971)",955092,Office,http://propertymap.sfplanning.org/?&search=3709/019,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,94,49.8,,-51,,3532.84,,49.8,,96,40.6,113.3,-55.6,,2923.51,,42,119.5,96,39.2,105.2,-55.8,-55.7,2774.8,3.1,39.3,105.3,94,40.3,113.7,-52.5,-52.5,2741.4,3.1,41.6,115.1,93,44.9,125.1,-49,-49,3036.2,3.4,45.8,126.1
1032/002,3201 California Street,3201 CALIFORNIA ST,94118,"3201 CALIFORNIA ST
San Francisco, CA 94118
(37.787171, -122.447225)",37000,Bank Branch,http://propertymap.sfplanning.org/?&search=1032/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,81,100.1,256.3,-25.3,,157.5,,98.6,254.7,81,101.6,256.7,-25.2,-25.2,149.5,7.4,100.8,255.7,,96.9,254.3,0.6,0.6,145.2,7.2,97.6,250.9,42,92.9,246.9,7.7,7.7,153.3,7,93.8,247.8
0316/001A,American Conservatory Theater,415 GEARY ST,94102,"415 GEARY ST
San Francisco, CA 94102
(37.787107, -122.410226)",66282,Performing Arts,http://propertymap.sfplanning.org/?&search=0316/001A,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,,48,,41.3,,293.31,,48,,,45,129,51.5,51.6,248.7,3.8,45,129,,46.7,130.4,53.6,53.2,254.1,3.8,46.7,130.4,,43.5,126.3,48.5,48.5,225.8,3.4,43.5,126.3,,42.7,124.5,46.3,46.3,222.2,3.4,43.1,124.9
8721/011,550 Terry Francois,550 Terry Francois Street,94107,"550 Terry Francois Street
San Francisco, CA 94107
(37.769469, -122.386329)",313575,Office,http://propertymap.sfplanning.org/?&search=8721/011,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Exempt - LEED EBOM,90,61.8,,-42.5,,1543.29,,61.8,,83,63.3,181.1,-36.3,,1649.55,,62.3,180,86,63.3,170.4,-40.1,-40.1,1497.2,4.8,62.8,171.8,86,60.8,167.5,-39.5,-39.5,1455.1,4.6,61.2,164.8,82,66.7,181.4,-34.9,-34.9,1585.5,5.1,66.8,180
4343/002,2045 EVANS AVE,2045 EVANS AVE,94124,"2045 EVANS AVE
San Francisco, CA 94124
(37.748007, -122.396495)",75014,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=4343/002,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2013,Complied,50,103.1,,-0.1,,618.27,,103.1,,,,,,,,,,,,118.3,371.6,201.8,201.8,607.8,9.6,118.3,371.6,,135,423.9,244.3,244.3,693.3,11,135,423.9,1,113.5,356.1,300.1,300.1,694,9.3,113.5,356.1
0175/032,Blackboard Inc,40 GOLD ST,94133,"40 GOLD ST
San Francisco, CA 94133
(37.796813, -122.402488)",18863,Office,http://propertymap.sfplanning.org/?&search=0175/032,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,61,90.3,208,-11.6,-11.6,119.5,6.3,90.5,208.3,73,68.9,173.9,-24.6,-24.6,95.1,5,72.4,177.6,94,44.1,110.9,-52.5,-52.5,60.8,3.2,44.1,110.9
0310/024,46 GEARY ST,46 GEARY ST,94108,"46 GEARY ST
San Francisco, CA 94108
(37.78786, -122.404271)",19327,,http://propertymap.sfplanning.org/?&search=0310/024,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,4/1/2017,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5598/030,Bayshore Center II,353 BAY SHORE BLVD,94124,"353 BAY SHORE BLVD
San Francisco, CA 94124
(37.742053, -122.405893)",28484,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=5598/030,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,145.5,386.5,-19.5,,238,,143.7,384.5,,148.3,390.7,-18.7,-18.6,241.5,11.8,145.1,387.3,,114.7,357,-25.6,-25.6,190.7,9.3,115.4,357.8,,162,420.4,-12.4,-12.4,246,12,162,420.4
0239/009,400 Montgomery,400 MONTGOMERY ST,94104,"400 MONTGOMERY ST
San Francisco, CA 94104
(37.793094, -122.402832)",84602,Office,http://propertymap.sfplanning.org/?&search=0239/009,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,78,62.7,,-29.4,,372.65,,62.7,,83,61,132.8,-36.3,,372.5,,57.9,129.2,82,62.4,129.4,-35.1,-35.1,370.1,4.4,62.7,129.8,85,56.8,121.5,-37.9,-37.9,326.5,3.9,61.8,126.7,87,51.4,117.7,-40.6,-40.6,304.2,3.6,53.7,120.2
0872/002,1930 MARKET ST,1930 MARKET ST,94102,"1930 MARKET ST
San Francisco, CA 94102
(37.770303, -122.42552)",16203,Medical Office,http://propertymap.sfplanning.org/?&search=0872/002,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,66,40.2,122,-20.6,-20.6,47.7,3.2,39.8,121.6,57,43.7,132.1,-8.4,-8.4,51.7,3.5,43.7,132.1,62,40.6,123.6,-14.6,-14.6,48.2,3.3,40.9,123.9
0056/007,55 Francisco St.,55 Francisco St.,94133,"55 Francisco St
San Francisco, CA 94133
(37.805639, -122.405873)",252253,Office,http://propertymap.sfplanning.org/?&search=0056/007,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Exempt - ENERGY STAR,,,,,,,,,,,,,,,,,,,73,94.6,207.2,-23.4,-23.4,950.7,6.5,94.7,207,87,68.7,164.6,-38.1,-38.1,718.7,4.9,68.7,164.6,88,72.8,165.5,-39.6,-39.6,743.5,5.1,73.9,165.9
0291/005,"Terra Verde - Chancery Building, Chelsea Pacific",562 MARKET ST,94104,"562 MARKET ST
San Francisco, CA 94104
(37.789593, -122.400985)",65000,Office,http://propertymap.sfplanning.org/?&search=0291/005,Complied,,Exempt,,Exempt,,Complied,,Complied,,Complied,,4/1/2014,Complied,,34.1,,-30.6,,201.86,,35,,,48.4,161.7,-28.8,,228.83,,48.8,162.9,67,85.5,172.3,-17.9,-17.9,384.4,5.9,85.8,172.6,67,76.2,161.8,-18.4,-18.4,335.4,5.2,79.8,165.6,70,73.6,157.9,-21.4,-21.4,325.3,5,76.4,160.8
3721/049,149 2ND ST,149 2ND ST,94105,"149 2ND ST
San Francisco, CA 94105
(37.787282, -122.398892)",19962,,http://propertymap.sfplanning.org/?&search=3721/049,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0291/006,Hobart Building,582 MARKET ST,94104,"582 MARKET ST
San Francisco, CA 94104
(37.78926, -122.401407)",106052,Office,http://propertymap.sfplanning.org/?&search=0291/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,95,57,,-54,,418.92,,56.6,,94,62.7,120.6,-51.7,,449.56,,60.9,118.7,92,67.3,119.9,-48.4,-48.5,465.6,4.4,67.6,120.2,94,56.4,108.8,-52.2,-52.2,389,3.7,60.5,113.1,93,63.4,114.1,-50.4,-50.4,425.6,4,66.9,117.7
0242/005,Charles Dunn - 720 California Street,720 CALIFORNIA ST,94108,"720 CALIFORNIA ST
San Francisco, CA 94108
(37.79238, -122.406513)",92065,Office,http://propertymap.sfplanning.org/?&search=0242/005,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,79,91.6,,-30.3,,587.05,,91.6,,77,96,246,-28.3,,607.62,,95,245,83,78.6,201.2,-36.1,-36.2,469.2,5.8,78.9,201.6,86,74.6,186.6,-40,-40,440.7,5.4,79.5,191.7,85,79.7,194.9,-37.9,-37.9,465.6,5.7,81.2,195.6
3769/002,1 Harrison,1 HARRISON ST,94105,"1 HARRISON ST
San Francisco, CA 94105
(37.789182, -122.388988)",203456,Office,http://propertymap.sfplanning.org/?&search=3769/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,92,52.5,141.5,-48.2,-48.2,620.4,4,51.8,140.8,96,50.2,141.4,-53.3,,646.57,,49.8,140.9,94,48,132.3,-50.9,-50.9,573.5,3.7,48.2,132.4,92,48.5,138.3,-47.8,-47.8,589.3,3.8,50,139.9,95,50,138.4,-52.4,-52.4,598.7,3.8,50.6,139
3722/004,144 Second Street,144 2ND ST,94105,"144 2ND ST
San Francisco, CA 94105
(37.787402, -122.399046)",24564,Office,http://propertymap.sfplanning.org/?&search=3722/004,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,4/1/2015,Complied,,,,,,,,,,,,,,,,,,,58,101.9,178.1,-8.5,-8.6,161.9,6.6,102.2,178.5,51,95.9,188,-1.8,-1.8,154.2,6.3,96.9,183.2,34,120.9,230.9,18.8,18.8,192.5,7.8,123.3,229.8
0173/005,607 FRONT ST,607 FRONT ST,94111,"607 FRONT ST
San Francisco, CA 94111
(37.797239, -122.399558)",15763,Office,http://propertymap.sfplanning.org/?&search=0173/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Vacant,Exempt,Exempt - New Construction,Complied,,Complied,,4/1/2018,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,44.7,97.7,-19.7,-19.7,48.3,3.1,54,107.5,73,43.3,93.5,-24.8,-24.8,46.5,3,46.6,97.1
3641/070,1245 SOUTH VAN NESS AVE,1245 SOUTH VAN NESS AVE,94110,"1245 SOUTH VAN NESS AVE
San Francisco, CA 94110
(37.753188, -122.416338)",30653,,http://propertymap.sfplanning.org/?&search=3641/070,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,4/1/2014,Exempt - Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3708/028,Stevenson Place,71 STEVENSON ST,94105,"71 STEVENSON ST
San Francisco, CA 94105
(37.789602, -122.399836)",350084,Office,http://propertymap.sfplanning.org/?&search=3708/028,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,88,67.5,,-41.2,,1752.98,,67.5,,90,62,164.6,-45.3,,1617.4,,61.6,164.2,92,58.7,145.2,-48.1,-48.1,1394,4.3,58.9,145.3,92,55.8,141.8,-48.5,-48.5,1341,4.1,57.1,143.2,94,55.1,141.9,-52.6,-52.6,1332.5,4.1,55.5,141.8
3787/008,660 Third,660 3RD ST,94107,"660 3RD ST
San Francisco, CA 94107
(37.779376, -122.39343)",108000,Office,http://propertymap.sfplanning.org/?&search=3787/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,98,33.7,,-61.7,,321.07,,33.7,,96,32.6,104.4,-57.1,,311.78,,32.4,104.2,95,32.3,98.1,-54.9,-54.9,300.6,2.8,32.3,98,95,32,98.7,-55.1,-55.1,279.2,2.6,31.6,96.9,96,32,97.3,-56.2,-56.2,277,2.6,31.7,96.1
